 1917, Drama, War
 Adaptation., Comedy, Drama
 A Beautiful Mind, Biography, Drama
 12 Years a Slave, Biography, Drama, History
 Argo, Biography, Drama, Thriller
 Almost Famous, Adventure, Comedy, Drama, Music
 Beginners, Comedy, Drama, Romance
 Birdman, Animation, Action, Adventure, Fantasy, Sci-Fi
 Avatar, Action, Adventure, Fantasy, Sci-Fi
 BlacKkKlansman, Biography, Crime, Drama
 Blade Runner 2049, Action, Drama, Mystery, Sci-Fi, Thriller
 Black Swan, Drama, Thriller
 Bohemian Rhapsody, Biography, Drama, Music
 Blue Jasmine, Drama
 Call Me by Your Name, Drama, Romance
 Bridge of Spies, Drama, History, Thriller
 Boyhood, Drama
 Brokeback Mountain, Drama, Romance
 Capote, Biography, Crime, Drama, History
 Chicago, Comedy, Crime, Musical
 Crazy Heart, Drama, Music, Romance
 Cold Mountain, Adventure, Drama, History, Romance, War
 Crash, Crime, Drama, Thriller
 Crouching Tiger, Hidden Dragon, Action, Adventure, Fantasy, Romance
 Dallas Buyers Club, Biography, Drama
 Django Unchained, Drama, Western
 Dreamgirls, Drama, Music, Musical
 Darkest Hour, Biography, Drama, History, War
 Erin Brockovich, Biography, Drama
 Fences, Drama
 Gladiator, Action, Adventure, Drama
 Gravity, Drama, Sci-Fi, Thriller
 Get Out, Horror, Mystery, Thriller
 Gosford Park, Comedy, Drama, Mystery
 Hugo, Drama, Family, Fantasy, Mystery
 If Beale Street Could Talk, Drama, Romance
 Green Book, Biography, Comedy, Drama, Music
 I, Tonya , Biography, Comedy, Drama, Sport
 Her, Drama, Romance, Sci-Fi
 Inception, Action, Adventure, Sci-Fi, Thriller
 Inglourious Basterds, Adventure, Drama, War
 Jojo Rabbit, Comedy, Drama, War
 Iris, Biography, Drama, Romance
 Joker, Crime, Drama, Thriller
 Judy, Biography, Drama, Romance
 Juno, Comedy, Drama
 La La Land, Comedy, Drama, Music, Musical, Romance
 La Vie en Rose, Biography, Drama, Music, Romance
 Life of Pi, Adventure, Drama, Fantasy
 Les Misérables, Drama, History, Musical, Romance, War
 Lincoln, Biography, Drama, History, War
 Little Miss Sunshine, Comedy, Drama
 Lost in Translation, Drama
 Manchester by the Sea, Drama
 Master and Commander:  The Far Side of the World, Action, Adventure, Drama, History, War
 Marriage Story, Comedy, Drama, Romance
 Memoirs of a Geisha, Drama, Romance
 Midnight in Paris, Comedy, Fantasy, Romance
 Michael Clayton, Crime, Drama, Mystery, Thriller
 Million Dollar Baby, Drama, Sport
 Moonlight, Drama
 Milk, Biography, Drama
 Mystic River, Crime, Drama, Mystery, Thriller
 No Country for Old Men, Crime, Drama, Thriller
 Once Upon a Time in Hollywood, Drama
 Pan's Labyrinth, Drama, Fantasy, War
 Pollock, Biography, Drama
 Parasite, Comedy, Crime, Drama, Thriller
 Monster, Biography, Crime, Drama, Thriller
 Precious, Drama
 Monster's Ball, Drama, Romance
 Ray, Biography, Drama, Music
 Road to Perdition, Crime, Drama, Thriller
 Eternal Sunshine of the Spotless Mind, Drama, Romance, Sci-Fi
 Roma, Drama
 Room, Drama, Thriller
 Sideways, Comedy, Drama, Romance
 Slumdog Millionaire, Drama, Romance
 Spotlight, Biography, Crime, Drama
 Still Alice, Drama
 Syriana, Drama, Thriller
 Talk to Her, Drama, Mystery, Romance
 Silver Linings Playbook, Comedy, Drama, Romance
 The Aviator, Biography, Drama
 The Big Short, Biography, Comedy, Drama, History
 The Blind Side, Biography, Drama, Sport
 The Danish Girl, Biography, Drama, Romance
 The Artist, Comedy, Drama, Romance
 The Departed, Crime, Drama, Thriller
 The Constant Gardener, Drama, Mystery, Romance, Thriller
 The Descendants, Comedy, Drama
 The Fighter, Biography, Drama, Sport
 The Dark Knight, Action, Crime, Drama, Thriller
 The Help, Drama
 The Hours, Drama, Romance
 The Favourite, Biography, Comedy, Drama, History
 The Imitation Game, Biography, Drama, Thriller, War
 The Iron Lady, Biography, Drama
 The Hurt Locker, Drama, Thriller, War
 The King's Speech, Biography, Drama, History
 The Last King of Scotland, Biography, Drama, History, Thriller
 The Lord of the Rings: The Fellowship of the Ring, Adventure, Drama, Fantasy
 The Lord of the Rings: The Return of the King, Adventure, Drama, Fantasy
 The Queen, Biography, Drama, History
 The Reader, Drama, Romance
 The Revenant, Action, Adventure, Biography, Drama, History, Western
 The Shape of Water, Adventure, Drama, Fantasy, Romance, Thriller
 The Pianist, Biography, Drama, Music, War
 The Theory of Everything, Biography, Drama, Romance
 There Will Be Blood, Drama
 Three Billboards Outside Ebbing, Missouri, Comedy, Crime, Drama
 Traffic, Crime, Drama, Thriller
 Training Day, Crime, Drama, Thriller
 Vicky Cristina Barcelona, Comedy, Drama, Romance
 Whiplash, Drama, Music
 Walk the Line, Biography, Drama, Music, Romance
 A Beautiful Mind, Biography, Drama
 12 Years a Slave, Biography, Drama, History
 Argo, Biography, Drama, Thriller
 Blue Jasmine, Drama
 Brokeback Mountain, Drama, Romance
 Chicago, Comedy, Crime, Musical
 The Social Network, Biography, Drama
 Birdman, Animation, Action, Adventure, Fantasy, Sci-Fi
 Crash, Crime, Drama, Thriller
 Dallas Buyers Club, Biography, Drama
 Gravity, Drama, Sci-Fi, Thriller
 Django Unchained, Drama, Western
 Gladiator, Action, Adventure, Drama
 Green Book, Biography, Comedy, Drama, Music
 La La Land, Comedy, Drama, Music, Musical, Romance
 Life of Pi, Adventure, Drama, Fantasy
 Manchester by the Sea, Drama
 Million Dollar Baby, Drama, Sport
 Moonlight, Drama
 Mystic River, Crime, Drama, Mystery, Thriller
 Milk, Biography, Drama
 No Country for Old Men, Crime, Drama, Thriller
 Precious, Drama
 Slumdog Millionaire, Drama, Romance
 Roma, Drama
 Spotlight, Biography, Crime, Drama
 The Aviator, Biography, Drama
 The Artist, Comedy, Drama, Romance
 The Departed, Crime, Drama, Thriller
 Little Miss Sunshine, Comedy, Drama
 The Fighter, Biography, Drama, Sport
 The Lord of the Rings: The Return of the King, Adventure, Drama, Fantasy
 The King's Speech, Biography, Drama, History
 The Revenant, Action, Adventure, Biography, Drama, History, Western
 The Hurt Locker, Drama, Thriller, War
 Parasite, Comedy, Crime, Drama, Thriller
 The Shape of Water, Adventure, Drama, Fantasy, Romance, Thriller
 The Pianist, Biography, Drama, Music, War
 There Will Be Blood, Drama
 Three Billboards Outside Ebbing, Missouri, Comedy, Crime, Drama
 Traffic, Crime, Drama, Thriller
 12 Years a Slave, Biography, Drama, History
 Green Book, Biography, Comedy, Drama, Music
 A Beautiful Mind, Biography, Drama
 Birdman, Animation, Action, Adventure, Fantasy, Sci-Fi
 La La Land, Comedy, Drama, Music, Musical, Romance
 Million Dollar Baby, Drama, Sport
 Moonlight, Drama
 No Country for Old Men, Crime, Drama, Thriller
 Slumdog Millionaire, Drama, Romance
 The Departed, Crime, Drama, Thriller
 Little Miss Sunshine, Comedy, Drama
 The Lord of the Rings: The Return of the King, Adventure, Drama, Fantasy
 The Artist, Comedy, Drama, Romance
 The Revenant, Action, Adventure, Biography, Drama, History, Western
 The Hurt Locker, Drama, Thriller, War
 The King's Speech, Biography, Drama, History
 The Pianist, Biography, Drama, Music, War
 A Beautiful Mind, Biography, Drama
 Birdman, Animation, Action, Adventure, Fantasy, Sci-Fi
 Parasite, Comedy, Crime, Drama, Thriller
 Million Dollar Baby, Drama, Sport
 No Country for Old Men, Crime, Drama, Thriller
 Slumdog Millionaire, Drama, Romance
 Little Miss Sunshine, Comedy, Drama
 The King's Speech, Biography, Drama, History
 No Country for Old Men, Crime, Drama, Thriller
 Traffic, Crime, Drama, Thriller